rank,threshold_low_moderate,threshold_moderate_high,threshold_high_very_high,accuracy,macro_f1,low_precision,moderate_precision,high_precision,very_high_precision,low_recall,moderate_recall,high_recall,very_high_recall
69,2.8335138787875,4.878916341613,6.4621351159455,0.7367256637168141,0.6647375979477914,0.9299610894941635,0.358974358974359,0.6111111111111112,0.7916666666666666,0.8047138047138047,0.6268656716417911,0.5238095238095238,0.76
70,3.0179836722045,4.9254948908195,6.4621351159455,0.745575221238938,0.6647294558223592,0.9213483146067416,0.3669724770642202,0.6153846153846154,0.7916666666666666,0.8282828282828283,0.5970149253731343,0.5079365079365079,0.76
71,3.0584582183085,4.878916341613,6.4621351159455,0.7477876106194691,0.6647091885187123,0.9185185185185185,0.36538461538461536,0.6111111111111112,0.7916666666666666,0.835016835016835,0.5671641791044776,0.5238095238095238,0.76
72,3.0954385027019997,4.859988903957,6.4621351159455,0.7522123893805309,0.6646619412052481,0.9194139194139194,0.37,0.6,0.7916666666666666,0.8451178451178452,0.5522388059701493,0.5238095238095238,0.76
73,2.6802301879724997,4.905160815295,6.4621351159455,0.7300884955752213,0.6645962307573221,0.936,0.352,0.6226415094339622,0.7916666666666666,0.7878787878787878,0.6567164179104478,0.5238095238095238,0.76
74,3.150493399208,4.878916341613,6.4621351159455,0.7566371681415929,0.6645693814816607,0.9107142857142857,0.3723404255319149,0.6111111111111112,0.7916666666666666,0.8585858585858586,0.5223880597014925,0.5238095238095238,0.76
75,2.9332506729425,4.859988903957,6.4621351159455,0.7433628318584071,0.6645595526346131,0.9277566539923955,0.36363636363636365,0.6,0.7916666666666666,0.8215488215488216,0.5970149253731343,0.5238095238095238,0.76
76,2.6088146145835,4.905160815295,6.4621351159455,0.7278761061946902,0.6645428413316175,0.943089430894309,0.3488372093023256,0.6226415094339622,0.7916666666666666,0.7811447811447811,0.6716417910447762,0.5238095238095238,0.76
77,2.808963801919,4.878916341613,6.4621351159455,0.7367256637168141,0.6645107381092915,0.93359375,0.3559322033898305,0.6111111111111112,0.7916666666666666,0.8047138047138047,0.6268656716417911,0.5238095238095238,0.76
78,2.8654248994315,4.878916341613,6.4621351159455,0.7389380530973452,0.6645003829959882,0.926923076923077,0.35964912280701755,0.6111111111111112,0.7916666666666666,0.8114478114478114,0.6119402985074627,0.5238095238095238,0.76
79,2.7618951619435,4.905160815295,6.4621351159455,0.7323008849557522,0.6644209986328213,0.932806324110672,0.3524590163934426,0.6226415094339622,0.7916666666666666,0.7946127946127947,0.6417910447761194,0.5238095238095238,0.76
80,3.0584582183085,4.9254948908195,6.4621351159455,0.7477876106194691,0.6644196341703492,0.9185185185185185,0.36792452830188677,0.6153846153846154,0.7916666666666666,0.835016835016835,0.582089552238806,0.5079365079365079,0.76
81,2.6730413553604997,4.4597622337965,6.4621351159455,0.7323008849557522,0.6644190577064932,0.9397590361445783,0.3434343434343434,0.55,0.7916666666666666,0.7878787878787878,0.5074626865671642,0.6984126984126984,0.76
82,3.150493399208,4.9254948908195,6.4621351159455,0.7566371681415929,0.664407970917476,0.9107142857142857,0.375,0.6153846153846154,0.7916666666666666,0.8585858585858586,0.5373134328358209,0.5079365079365079,0.76
83,2.8335138787875,4.9254948908195,6.4621351159455,0.7367256637168141,0.6643033547716127,0.9299610894941635,0.36134453781512604,0.6153846153846154,0.7916666666666666,0.8047138047138047,0.6417910447761194,0.5079365079365079,0.76
84,2.9918022553995,4.859988903957,6.4621351159455,0.745575221238938,0.6642494939287444,0.924812030075188,0.3644859813084112,0.6,0.7916666666666666,0.8282828282828283,0.582089552238806,0.5238095238095238,0.76
85,2.8654248994315,4.9254948908195,6.4621351159455,0.7389380530973452,0.6640996066053243,0.926923076923077,0.3620689655172414,0.6153846153846154,0.7916666666666666,0.8114478114478114,0.6268656716417911,0.5079365079365079,0.76
86,2.808963801919,4.9254948908195,6.4621351159455,0.7367256637168141,0.6640752803848312,0.93359375,0.35833333333333334,0.6153846153846154,0.7916666666666666,0.8047138047138047,0.6417910447761194,0.5079365079365079,0.76
87,3.1658580814685,4.878916341613,6.4621351159455,0.7588495575221239,0.664049852892841,0.9081272084805654,0.37362637362637363,0.6111111111111112,0.7916666666666666,0.8653198653198653,0.5074626865671642,0.5238095238095238,0.76
88,3.1658580814685,4.9254948908195,6.4621351159455,0.7588495575221239,0.6639347099409478,0.9081272084805654,0.3763440860215054,0.6153846153846154,0.7916666666666666,0.8653198653198653,0.5223880597014925,0.5079365079365079,0.76
89,3.110573440635,4.878916341613,6.4621351159455,0.7522123893805309,0.6638893890950734,0.9130434782608695,0.3673469387755102,0.6111111111111112,0.7916666666666666,0.8484848484848485,0.5373134328358209,0.5238095238095238,0.76
90,2.6730413553604997,4.878916341613,6.4621351159455,0.7300884955752213,0.6637722396650968,0.9397590361445783,0.352,0.6111111111111112,0.7916666666666666,0.7878787878787878,0.6567164179104478,0.5238095238095238,0.76
91,2.8550343018665,4.859988903957,6.4621351159455,0.7389380530973452,0.6636943467083076,0.9305019305019305,0.35964912280701755,0.6,0.7916666666666666,0.8114478114478114,0.6119402985074627,0.5238095238095238,0.76
92,3.110573440635,4.9254948908195,6.4621351159455,0.7522123893805309,0.6636817168749045,0.9130434782608695,0.37,0.6153846153846154,0.7916666666666666,0.8484848484848485,0.5522388059701493,0.5079365079365079,0.76
93,3.0544828662840002,4.878916341613,6.4621351159455,0.745575221238938,0.6635661881837762,0.9182156133828996,0.3619047619047619,0.6111111111111112,0.7916666666666666,0.8316498316498316,0.5671641791044776,0.5238095238095238,0.76
94,3.0778644122100003,4.859988903957,6.4621351159455,0.75,0.6635107626500601,0.9191176470588235,0.36633663366336633,0.6,0.7916666666666666,0.8417508417508418,0.5522388059701493,0.5238095238095238,0.76
95,2.599828096969,4.905160815295,6.4621351159455,0.7256637168141593,0.663431759296606,0.9428571428571428,0.34615384615384615,0.6226415094339622,0.7916666666666666,0.7777777777777778,0.6716417910447762,0.5238095238095238,0.76
96,2.9096123539559997,4.859988903957,6.4621351159455,0.7411504424778761,0.6634200250836159,0.9274809160305344,0.36036036036036034,0.6,0.7916666666666666,0.8181818181818182,0.5970149253731343,0.5238095238095238,0.76
97,3.1425877214815,4.878916341613,6.4621351159455,0.754424778761062,0.663413994515185,0.910394265232975,0.3684210526315789,0.6111111111111112,0.7916666666666666,0.8552188552188552,0.5223880597014925,0.5238095238095238,0.76
98,2.7900504367285004,4.878916341613,6.4621351159455,0.7345132743362832,0.6633861279974284,0.9333333333333333,0.35294117647058826,0.6111111111111112,0.7916666666666666,0.8013468013468014,0.6268656716417911,0.5238095238095238,0.76
99,2.737052112408,4.905160815295,6.4621351159455,0.7300884955752213,0.6633023259783419,0.9325396825396826,0.34959349593495936,0.6226415094339622,0.7916666666666666,0.7912457912457912,0.6417910447761194,0.5238095238095238,0.76
100,2.6654838638575002,4.4597622337965,6.4621351159455,0.7300884955752213,0.663281579942099,0.9395161290322581,0.34,0.55,0.7916666666666666,0.7845117845117845,0.5074626865671642,0.6984126984126984,0.76
